Unnamed: 0,GAME_ID,TEAM_CITY,PLAYER_NAME,MIN,START_POSITION,STATUS
22000137,Cleveland,Cedi Osman,30:41,F,,
22000137,Cleveland,Larry Nance Jr.,39:42,F,,
22000137,Cleveland,Andre Drummond,41:17,C,,
22000137,Cleveland,Isaac Okoro,33:33,G,,
22000137,Cleveland,Damyean Dotson,41:03,G,,
22000137,Cleveland,Lamar Stevens,11:37,,,
22000137,Cleveland,Dean Wade,14:35,,,
22000137,Cleveland,JaVale McGee,17:21,,,
22000137,Cleveland,Thon Maker,10:11,,,
22000137,Cleveland,Marques Bolden,,,,
22000137,Cleveland,Darius Garland,,,,
22000137,Cleveland,Collin Sexton,,,,
22000137,Milwaukee,Khris Middleton,35:28,F,,
22000137,Milwaukee,Bobby Portis,33:27,F,,
22000137,Milwaukee,Brook Lopez,34:44,C,,
22000137,Milwaukee,Donte DiVincenzo,26:54,G,,
22000137,Milwaukee,Jrue Holiday,36:16,G,,
22000137,Milwaukee,Thanasis Antetokounmpo,12:25,,,
22000137,Milwaukee,D.J. Augustin,20:13,,,
22000137,Milwaukee,Pat Connaughton,10:55,,,
22000137,Milwaukee,D.J. Wilson,15:42,,,
22000137,Milwaukee,Bryn Forbes,13:56,,,
22000137,Milwaukee,Sam Merrill,,,,
22000137,Milwaukee,Jordan Nwora,,,,
